,IO,compute,conclude,n,prepare,total,universe,wait
5,0.29809141159057617,0.0063474178314208984,0.0004398822784423828,24.0,1.0013580322265625e-05,4.105507135391235,0.9651749134063721,2.7035529613494873
6,0.20369291305541992,0.0044062137603759766,0.00040411949157714844,32.0,1.1920928955078125e-05,3.14249587059021,0.9700179100036621,1.7793879508972168
7,0.1675114631652832,0.0033986568450927734,0.0005369186401367188,40.0,7.867813110351562e-06,2.2958550453186035,0.9729280471801758,0.9909701347351074
8,0.12923526763916016,0.002536773681640625,0.0006358623504638672,48.0,1.1920928955078125e-05,2.320812940597534,0.990386962890625,0.9851090908050537
9,0.12285995483398438,0.0025811195373535156,0.0007619857788085938,56.0,1.4066696166992188e-05,2.5302178859710693,0.9465320110321045,1.2384719848632812
10,0.10022687911987305,0.0020482540130615234,0.000598907470703125,64.0,1.2874603271484375e-05,2.727977991104126,0.9771981239318848,1.4184560775756836
11,0.08751249313354492,0.0021593570709228516,0.0005650520324707031,72.0,1.0013580322265625e-05,2.6802170276641846,1.2439029216766357,1.05330491065979
0,6.62576961517334,0.12865900993347168,7.891654968261719e-05,1.0,9.059906005859375e-06,8.281131982803345,0.9573709964752197,0.5392229557037354
1,3.364849805831909,0.06570005416870117,9.393692016601562e-05,2.0,1.0013580322265625e-05,5.428706884384155,0.9407050609588623,1.027890920639038
2,1.6192240715026855,0.03218388557434082,9.703636169433594e-05,4.0,1.4066696166992188e-05,3.489499092102051,0.9652822017669678,0.8243319988250732
3,0.8259162902832031,0.018597126007080078,0.0004291534423828125,8.0,1.0967254638671875e-05,3.38565993309021,0.9711999893188477,1.4392359256744385
4,0.41887426376342773,0.009721755981445312,0.0004379749298095703,16.0,9.059906005859375e-06,4.584529161453247,0.9638440608978271,3.082895040512085
5,0.3012583255767822,0.007166385650634766,0.0004730224609375,24.0,1.3113021850585938e-05,3.6309988498687744,0.9610159397125244,2.2072479724884033
6,0.21026301383972168,0.004189252853393555,0.0005209445953369141,32.0,1.1920928955078125e-05,2.858039140701294,0.9379289150238037,1.517915964126587
7,0.1571338176727295,0.0030853748321533203,0.0005240440368652344,40.0,1.3113021850585938e-05,2.163051128387451,0.9531810283660889,0.869488000869751
8,0.1387171745300293,0.003027200698852539,0.0006079673767089844,48.0,1.2159347534179688e-05,2.2159290313720703,0.940140962600708,0.9758858680725098
9,0.11562132835388184,0.0023729801177978516,0.0007989406585693359,56.0,1.1920928955078125e-05,2.3643009662628174,0.9618339538574219,1.0529260635375977
10,0.10048437118530273,0.0019440650939941406,0.0006699562072753906,64.0,1.2159347534179688e-05,2.568047046661377,0.9727878570556641,1.2847120761871338
11,0.08668065071105957,0.0016710758209228516,0.0008449554443359375,72.0,1.2874603271484375e-05,2.7097158432006836,1.5073719024658203,0.8263731002807617
